% Model:              SimulationA.mph
% Version:            COMSOL 6.1.0.357
% Date:               Dec 8 2023, 16:29
% Table:              Evaluation Group 1 - 
% Time (s)               es.Q0_1/es.V0_1 (F)      Displacement field, X-component (µm), Point: 293
0                        2.2373226993690762E-13   7.689553373009151E-69
1.0E-5                   2.2373226993737806E-13   1.765775828946251E-17
2.0E-5                   2.2373226994451158E-13   5.180782614397114E-16
3.0000000000000004E-5    2.2373226997270479E-13   3.2449484007519614E-15
3.9999999999999996E-5    2.237322700448399E-13    1.2078344924248117E-14
5.0E-5                   2.237322701899589E-13    3.438229512957936E-14
6.000000000000001E-5     2.2373227043654788E-13   7.895924790943089E-14
7.000000000000001E-5     2.237322708137834E-13    1.5776330014584452E-13
8.0E-5                   2.2373227134049776E-13   2.804118495463127E-13
9.0E-5                   2.2373227203060618E-13   4.556003326398927E-13
1.0E-4                   2.2373227287719502E-13   6.877406601169791E-13
1.1E-4                   2.2373227387050178E-13   9.7915344516575E-13
1.2000000000000002E-4    2.237322749809197E-13    1.3267254591408041E-12
1.3000000000000002E-4    2.2373227614956017E-13   1.7144441443340728E-12
1.4000000000000001E-4    2.2373227733959786E-13   2.135158307810165E-12
1.5000000000000001E-4    2.2373227850857752E-13   2.5795479945760357E-12
1.6E-4                   2.2373227956917387E-13   3.024613986601459E-12
1.7E-4                   2.237322804648686E-13    3.4567310251249933E-12
1.8E-4                   2.237322811451555E-13    3.864105895541958E-12
1.9E-4                   2.2373228158406432E-13   4.224035070985173E-12
2.0E-4                   2.2373228175087182E-13   4.515138853381776E-12
2.1E-4                   2.2373228158667657E-13   4.7239143259851045E-12
2.2E-4                   2.237322811650906E-13    4.8494765040665334E-12
2.3E-4                   2.2373228050019066E-13   4.8828003051338936E-12
2.4000000000000003E-4    2.2373227957206138E-13   4.812611018854E-12
2.5E-4                   2.2373227853075968E-13   4.675307440743233E-12
2.6000000000000003E-4    2.237322773647102E-13    4.457259060684592E-12
2.7E-4                   2.2373227616061356E-13   4.1867031713870235E-12
2.8000000000000003E-4    2.2373227498064764E-13   3.878534083661734E-12
2.9E-4                   2.237322738691291E-13    3.5431734339910636E-12
3.0000000000000003E-4    2.2373227286967388E-13   3.196575852959935E-12
3.1E-4                   2.237322720328131E-13    2.8512738662354758E-12
3.2E-4                   2.237322713393093E-13    2.512917316847472E-12
3.3000000000000005E-4    2.2373227083711653E-13   2.195097581276364E-12
3.4E-4                   2.237322704631855E-13    1.8962126041099603E-12
3.5000000000000005E-4    2.2373227019779992E-13   1.6208600169010745E-12
3.6E-4                   2.2373227003868784E-13   1.372274499005571E-12
3.7000000000000005E-4    2.2373226997032293E-13   1.1471316786208478E-12
3.8E-4                   2.237322699466121E-13    9.43804018267935E-13
3.9000000000000005E-4    2.2373226993783168E-13   7.610808535591305E-13
4.0E-4                   2.2373226994255387E-13   5.992241813006455E-13
4.1000000000000005E-4    2.2373226993740466E-13   4.597579368627262E-13
4.2E-4                   2.2373226994399512E-13   3.419900161374235E-13
4.3000000000000004E-4    2.237322699718619E-13    2.4508981899243255E-13
4.4E-4                   2.2373227004423963E-13   1.7076436948980057E-13
4.5000000000000004E-4    2.2373227018902024E-13   1.2446344133681684E-13
4.6E-4                   2.237322704367091E-13    1.1501493798115477E-13
4.7000000000000004E-4    2.2373227081420914E-13   1.5315896914373826E-13
4.8000000000000007E-4    2.2373227134150162E-13   2.4798443509628135E-13
4.900000000000001E-4     2.237322720311961E-13    4.07301615827949E-13
5.0E-4                   2.2373227288028392E-13   6.321216444964355E-13
5.1E-4                   2.237322738732683E-13    9.196852390548503E-13
5.200000000000001E-4     2.2373227498112668E-13   1.2628137060674424E-12
5.300000000000001E-4     2.2373227616201973E-13   1.6532393945313559E-12
5.4E-4                   2.2373227736065846E-13   2.080098696081332E-12
5.5E-4                   2.2373227851606564E-13   2.5299610382772485E-12
5.600000000000001E-4     2.237322795746319E-13    2.9839966709001414E-12
5.700000000000001E-4     2.2373228046775336E-13   3.42496632619948E-12
5.8E-4                   2.2373228114173052E-13   3.836053865660682E-12
5.9E-4                   2.2373228156720372E-13   4.2058394928357264E-12
6.000000000000001E-4     2.2373228171146445E-13   4.518835861062543E-12
6.100000000000001E-4     2.2373228156390853E-13   4.760275673608676E-12
6.2E-4                   2.2373228113167412E-13   4.91178898173123E-12
6.3E-4                   2.2373228045222686E-13   4.963147203268823E-12
6.4E-4                   2.2373227956440753E-13   4.910596197033148E-12
6.500000000000001E-4     2.237322784963135E-13    4.764336768299845E-12
6.600000000000001E-4     2.2373227733994241E-13   4.529624335647338E-12
6.7E-4                   2.2373227615639607E-13   4.222918914552505E-12
6.8E-4                   2.2373227496939184E-13   3.868196212465709E-12
6.900000000000001E-4     2.2373227386336026E-13   3.5006289164606094E-12
7.000000000000001E-4     2.2373227288172732E-13   3.1412512647201436E-12
7.1E-4                   2.2373227203609976E-13   2.785446854348019E-12
7.2E-4                   2.2373227134731357E-13   2.464122602137416E-12
7.300000000000001E-4     2.237322708196144E-13    2.1795021616046834E-12
7.400000000000001E-4     2.2373227045391547E-13   1.9116562091134307E-12
