% Model,coupled_V18V_T001_a0_overetch025_thickness30_offset01.mph
% Version,COMSOL 6.1.0.357
% Date,"Dec 7 2023, 05:13"
% Table,Evaluation Group 1 - 
% dx,Time (s),es.Q0_1/es.V0_1 (F),"Displacement field, X-component (µm), Point: 293"
5,0,2.331255810286551E-13,8.954537848020771E-29
5,1.0E-5,2.33125582905243E-13,1.446631462215977E-8
5,2.0E-5,2.331256474555782E-13,5.669271757058534E-7
5,3.0000000000000004E-5,2.331260440472491E-13,4.075851198543938E-6
5,3.9999999999999996E-5,2.3312748280775633E-13,1.698107564591712E-5
5,5.0E-5,2.3313164008547334E-13,5.450972251124371E-5
5,6.000000000000001E-5,2.3314118211902884E-13,1.4093496652049792E-4
5,7.000000000000001E-5,2.3316093681882093E-13,3.2070129485227547E-4
5,8.0E-5,2.3319639743382644E-13,6.440676447120201E-4
5,9.0E-5,2.3325390262296945E-13,0.0011693354329745742
5,1.0E-4,2.3334204081572143E-13,0.001974881003720148
5,1.1E-4,2.334693176968464E-13,0.003137788201036891
5,1.2000000000000002E-4,2.3364313782938535E-13,0.0047247196846299105
5,1.3000000000000002E-4,2.3386856617272465E-13,0.00677930673587816
5,1.4000000000000001E-4,2.3415259837265215E-13,0.009361768228588587
5,1.5000000000000001E-4,2.3449445665063087E-13,0.012461133389719069
5,1.6E-4,2.348926001754057E-13,0.016057634269039386
5,1.7E-4,2.353527568965189E-13,0.02019377292577205
5,1.8E-4,2.358548329435086E-13,0.024685631455023647
5,1.9E-4,2.363896686032524E-13,0.029445035204268583
5,2.0E-4,2.3695749937284826E-13,0.03446495526760005
5,2.1E-4,2.3752134536578535E-13,0.03942172431058678
5,2.2E-4,2.380687985804355E-13,0.04420668980052938
5,2.3E-4,2.3858418570592005E-13,0.04868533278543124
5,2.4000000000000003E-4,2.3903210547776464E-13,0.052558437474562736
5,2.5E-4,2.3939625930541816E-13,0.05569739313000671
5,2.6000000000000003E-4,2.396620463925008E-13,0.05797980408882012
5,2.7E-4,2.3980809985246093E-13,0.05923544684806358
5,2.8000000000000003E-4,2.398307469357462E-13,0.05943691115914541
5,2.9E-4,2.397330593952752E-13,0.05860713479119185
5,3.0000000000000003E-4,2.3950764487085756E-13,0.05668592075508368
5,3.1E-4,2.3918626552566813E-13,0.05393233532129105
5,3.2E-4,2.3876486693860807E-13,0.050303332460178575
5,3.3000000000000005E-4,2.382796212832998E-13,0.04610776859679194
5,3.4E-4,2.377449658043275E-13,0.04145089191195168
5,3.5000000000000005E-4,2.3718286437163184E-13,0.03652157742880284
5,3.6E-4,2.3661683506798883E-13,0.031542427626301946
5,3.7000000000000005E-4,2.3607017659070247E-13,0.026669753634941874
5,3.8E-4,2.3555552720369473E-13,0.022070850607506368
5,3.9000000000000005E-4,2.350882905331715E-13,0.017866177414292108
5,4.0E-4,2.3477621277885884E-13,0.01412216547543856
5,4.1000000000000005E-4,2.3431181026327825E-13,0.010849618354019583
5,4.2E-4,2.340035218040249E-13,0.008043928690796244
5,4.3000000000000004E-4,2.3374560250971916E-13,0.005688917109314936
5,4.4E-4,2.335350161762271E-13,0.003760756847408304
5,4.5000000000000004E-4,2.3336893592590704E-13,0.002236384842167397
5,4.6E-4,2.3324544821316986E-13,0.0011001882229845345
5,4.7000000000000004E-4,2.331637815632897E-13,3.4680748763515635E-4
5,4.8000000000000007E-4,2.331246966276032E-13,-1.5806363459034497E-5
5,4.900000000000001E-4,2.331307075175551E-13,3.589039692139489E-5
5,5.0E-4,2.331856934134256E-13,5.375091776640431E-4
5,5.1E-4,2.332938263525748E-13,0.0015266489353282526
5,5.200000000000001E-4,2.334600304545433E-13,0.003046645705424566
5,5.300000000000001E-4,2.336882332115237E-13,0.005131011878141444
5,5.4E-4,2.339827413748159E-13,0.007814586714860903
5,5.5E-4,2.343458478391609E-13,0.011112210526851483
5,5.600000000000001E-4,2.34772618914402E-13,0.014972937934396002
5,5.700000000000001E-4,2.3526264004885215E-13,0.019383400196495506
5,5.8E-4,2.3580193938436754E-13,0.024211853035999258
5,5.9E-4,2.3638014154030173E-13,0.029357580565246157
5,6.000000000000001E-4,2.369803552271896E-13,0.03466522692611997
5,6.100000000000001E-4,2.375803893473573E-13,0.03993750781660159
5,6.2E-4,2.381559337804988E-13,0.04496424038265483
5,6.3E-4,2.386872991698359E-13,0.04957664990979155
5,6.4E-4,2.3914400568253746E-13,0.053522761443435755
5,6.500000000000001E-4,2.3950870275077627E-13,0.0566614701065561
5,6.600000000000001E-4,2.3976311687105486E-13,0.05884538985980715
5,6.7E-4,2.3988901781982615E-13,0.05992929292184716
5,6.8E-4,2.3988955693627026E-13,0.059941225636825336
5,6.900000000000001E-4,2.397571531036883E-13,0.058816225383355916
5,7.000000000000001E-4,2.3950251050555337E-13,0.05664101494945949
5,7.1E-4,2.391409934748138E-13,0.05353228361288202
5,7.2E-4,2.3869292713928787E-13,0.049651401034121134
5,7.300000000000001E-4,2.381786451555825E-13,0.04518758861084891
5,7.400000000000001E-4,2.376271133709614E-13,0.0404128203914758
5,7.5E-4,2.3705883336311596E-13,0.03545821486181489
5,7.6E-4,2.3650488003862983E-13,0.030563726542398983
5,7.700000000000001E-4,2.359892516050363E-13,0.02588650446054675
5,7.800000000000001E-4,2.355209482345053E-13,0.021527206881778584
