% Model:              SimulationA.mph
% Version:            COMSOL 6.1.0.357
% Date:               Dec 9 2023, 16:05
% Table:              Evaluation Group 1 - 
% Time (s)               es.Q0_2/es.V0_2 (F)      Displacement field, X-component (µm), Point: 293
0                        2.2323751799352879E-13   7.912451575746432E-29
1.0E-5                   2.232375193863345E-13    1.2360358547730311E-8
2.0E-5                   2.232375672802953E-13    4.84386195807913E-7
3.0000000000000004E-5    2.232378615394306E-13    3.482491172519217E-6
3.9999999999999996E-5    2.232389290311157E-13    1.4509203263425061E-5
5.0E-5                   2.232420133560042E-13    4.6575603600731775E-5
6.000000000000001E-5     2.2324909228633744E-13   1.2042234145608618E-4
7.000000000000001E-5     2.2326374700074114E-13   2.7402458873906254E-4
8.0E-5                   2.23290050077279E-13     5.503189658563275E-4
9.0E-5                   2.2333269792583072E-13   9.991027749304533E-4
1.0E-4                   2.2339804664233447E-13   0.0016872925557940184
1.1E-4                   2.2349237316883697E-13   0.002680617679016773
1.2000000000000002E-4    2.2362111059962277E-13   0.004035760882759251
1.3000000000000002E-4    2.2378790679798929E-13   0.005789392685223812
1.4000000000000001E-4    2.2399784179227195E-13   0.00799259931238247
1.5000000000000001E-4    2.242501693357396E-13    0.010635172951459368
1.6E-4                   2.2454355654813687E-13   0.013699335893486651
1.7E-4                   2.2488205784656728E-13   0.017220893243318724
1.8E-4                   2.252506106096041E-13    0.0210416370799677
1.9E-4                   2.2564226893264208E-13   0.025085355303430798
2.0E-4                   2.260570319065823E-13    0.029345330132614457
2.1E-4                   2.2646774506241512E-13   0.03354598436890172
2.2E-4                   2.268652676324806E-13    0.037594032160513983
2.3E-4                   2.272382070787493E-13    0.04137493438083059
2.4000000000000003E-4    2.275612075987053E-13    0.044637141670771575
2.5E-4                   2.2782247635407053E-13   0.04727036667144025
2.6000000000000003E-4    2.2801205556656563E-13   0.04917540904008116
2.7E-4                   2.2811470378088785E-13   0.05020876847937308
2.8000000000000003E-4    2.2812808887972107E-13   0.05034946744824699
2.9E-4                   2.2805477009106793E-13   0.04962001817177504
3.0000000000000003E-4    2.2788947808930764E-13   0.047970739038662356
3.1E-4                   2.2765512714120016E-13   0.045621862892290706
3.2E-4                   2.2734882629842992E-13   0.04253896081779623
3.3000000000000005E-4    2.2699639203138224E-13   0.03898147233388034
3.4E-4                   2.2660824629652093E-13   0.035039578083649034
3.5000000000000005E-4    2.2620009513526723E-13   0.030871854935593298
3.6E-4                   2.2578879727024537E-13   0.02666486051917971
3.7000000000000005E-4    2.2539121110396122E-13   0.02255036809299659
3.8E-4                   2.2501627896468385E-13   0.018666960711105688
3.9000000000000005E-4    2.2467597034382255E-13   0.015117431664213159
4.0E-4                   2.2447611609760275E-13   0.011956494663117972
4.1000000000000005E-4    2.2410893748461195E-13   0.009193630717332646
4.2E-4                   2.2388348550632963E-13   0.0068242493444248395
4.3000000000000004E-4    2.2369466643167474E-13   0.004834880098331178
4.4E-4                   2.235403504952616E-13    0.003205426640448026
4.5000000000000004E-4    2.2341843994301382E-13   0.0019156841800972426
4.6E-4                   2.2332752498171231E-13   9.519054654446129E-4
4.7000000000000004E-4    2.2326702439029076E-13   3.0890140908529975E-4
4.8000000000000007E-4    2.2323772610194777E-13   -4.267956622582196E-6
4.900000000000001E-4     2.2324160153381783E-13   3.363079825927016E-5
5.0E-4                   2.2328165234072532E-13   4.5441158668370904E-4
5.1E-4                   2.2336087482227264E-13   0.001289305555710097
5.200000000000001E-4     2.2348325247163925E-13   0.0025790767838096158
5.300000000000001E-4     2.236512066659833E-13    0.0043480183546855695
5.4E-4                   2.2386801787182184E-13   0.0066275344251683285
5.5E-4                   2.2413570218338766E-13   0.009434622989652683
5.600000000000001E-4     2.244491813280839E-13    0.012712696645145474
5.700000000000001E-4     2.248083774300744E-13    0.01645414769163354
5.8E-4                   2.2520479045907557E-13   0.020565958950824217
5.9E-4                   2.2562764464259177E-13   0.024932347750422672
6.000000000000001E-4     2.2606629350201919E-13   0.02943957981505167
6.100000000000001E-4     2.2650452867674859E-13   0.033920001138708585
6.2E-4                   2.2692445321078945E-13   0.038193391297424856
6.3E-4                   2.2730920483229714E-13   0.042091855769265676
6.4E-4                   2.2764365612775187E-13   0.04546637706761038
6.500000000000001E-4     2.279049912926768E-13    0.04809842021706743
6.600000000000001E-4     2.2809033199247516E-13   0.049960444861302064
6.7E-4                   2.2818434599970587E-13   0.0509064052628865
6.8E-4                   2.2818013013382156E-13   0.05087159134614557
6.900000000000001E-4     2.280860783676037E-13    0.049937716856341074
7.000000000000001E-4     2.279018017073859E-13    0.048095530622631964
7.1E-4                   2.2763799751497146E-13   0.04544752163185783
7.2E-4                   2.2731026969931551E-13   0.04214002210376006
7.300000000000001E-4     2.2693812086068484E-13   0.03835084867040341
7.400000000000001E-4     2.2653385420839607E-13   0.03422142909581848
7.5E-4                   2.2611840310989516E-13   0.02999009683538874
7.6E-4                   2.2570536086308985E-13   0.025818671656600466
7.700000000000001E-4     2.253107828089753E-13    0.02181145972470136
7.800000000000001E-4     2.2496259553634984E-13   0.018103686157263925
7.9E-4                   2.2467746236350458E-13   0.014750104580864532
8.0E-4                   2.2435624644819981E-13   0.011748731376623106
8.100000000000001E-4     NaN                      0.009179433237691981
8.200000000000001E-4     NaN                      0.007113973083103828
8.300000000000001E-4     NaN                      0.005456967739775469
8.4E-4                   NaN                      0.004032614338243776
8.500000000000001E-4     NaN                      0.0028341872598593616
8.600000000000001E-4     NaN                      0.0019167276143186344
8.700000000000001E-4     NaN                      0.0010889237316037696
8.8E-4                   NaN                      4.2235572659292853E-4
8.900000000000001E-4     NaN                      -1.269347143493799E-4
9.000000000000001E-4     NaN                      -5.589475912231484E-4
9.100000000000001E-4     NaN                      -8.864522454067537E-4
9.2E-4                   NaN                      -0.0011175608032276945
9.3E-4                   NaN                      -0.0012435426923124546
9.400000000000001E-4     NaN                      -0.001268273218229067
9.500000000000001E-4     NaN                      -0.0013431110063603546
9.600000000000001E-4     NaN                      -0.001382684677769317
9.7E-4                   NaN                      -0.001386994232455954
9.800000000000002E-4     NaN                      -0.0013560396704202647
9.9E-4                   NaN                      -0.0012898209916622522
0.001                    NaN                      -0.0011883381961819127
0.00101                  NaN                      -0.001054084482168038
0.00102                  NaN                      -9.529349861863364E-4
