% Model,SimulationA.mph
% Version,COMSOL 6.1.0.357
% Date,"Dec 9 2023, 17:56"
% Table,Evaluation Group 1 - 
% Time (s),es.Q0_2/es.V0_2 (F),"Displacement field, X-component (µm), Point: 292"
0,2.245441356391372E-13,6.35987315035434E-29
1.0E-5,2.2454413708407748E-13,1.2579439698643478E-8
2.0E-5,2.2454418667186939E-13,4.931178622116635E-7
3.0000000000000004E-5,2.2454449122392323E-13,3.5459174577503703E-6
3.9999999999999996E-5,2.2454559592176623E-13,1.4776386798479041E-5
5.0E-5,2.245487878142468E-13,4.744578640484497E-5
6.000000000000001E-5,2.2455611542212917E-13,1.2271313215359527E-4
7.000000000000001E-5,2.2457129212260556E-13,2.793592234847749E-4
8.0E-5,2.2459854574937235E-13,5.61287164418021E-4
9.0E-5,2.2464275781372138E-13,0.0010194717224489822
1.0E-4,2.24710547637985E-13,0.0017225484390875985
1.1E-4,2.248084780222381E-13,0.0027381944813124437
1.2000000000000002E-4,2.249422647297672E-13,0.004125110455346151
1.3000000000000002E-4,2.251158380864116E-13,0.005922215223077688
1.4000000000000001E-4,2.2533457057412507E-13,0.008182670884208059
1.5000000000000001E-4,2.255978599540422E-13,0.010897662840887152
1.6E-4,2.259045055362179E-13,0.014050711218892202
1.7E-4,2.2625885305943297E-13,0.01767959409765728
1.8E-4,2.2664551664654123E-13,0.021624862840174005
1.9E-4,2.2705749343516853E-13,0.02581046424478529
2.0E-4,2.274949601654579E-13,0.030231025650747572
2.1E-4,2.2792977194083254E-13,0.03460525261360235
2.2E-4,2.2835259163121817E-13,0.03883923107573446
2.3E-4,2.2875164556753214E-13,0.042816458813939653
2.4000000000000003E-4,2.291002324620752E-13,0.04627663685766956
2.5E-4,2.2938621814299416E-13,0.04910847274511826
2.6000000000000003E-4,2.295985323818711E-13,0.05120408886975625
2.7E-4,2.2972113166111816E-13,0.05241545657538454
2.8000000000000003E-4,2.2975105307847867E-13,0.05271640346423407
2.9E-4,2.296902870990287E-13,0.05212389604610205
3.0000000000000003E-4,2.2953294861141424E-13,0.05058365312707202
3.1E-4,2.2930224532212196E-13,0.048314374315672606
3.2E-4,2.2899468343841197E-13,0.04527653572392689
3.3000000000000005E-4,2.286369043753472E-13,0.04173213644008377
3.4E-4,2.282392898496123E-13,0.03776879860089862
