# overetch,offset,thickness,sensitivity 
0.245801,0.082270,29.399884,0.004371
0.381954,0.000621,30.213545,0.004428
0.126249,0.362958,29.501706,0.004445
0.474550,0.165829,29.922241,0.004395
0.380185,-0.493546,29.969425,0.004454
0.496152,0.487421,29.989967,0.004430
0.145313,-0.185233,29.268746,0.004494
0.303088,0.015998,29.099758,0.004482
0.423006,-0.264365,30.759555,0.004434
0.123113,-0.051986,30.947414,0.004547
0.414511,-0.034302,30.398884,0.004418
0.232637,-0.191842,30.388785,0.004412
0.393596,0.383870,29.489925,0.004523
0.247170,0.064501,30.611577,0.004370
0.165516,0.390263,29.004226,0.004817
0.146485,-0.443737,30.353350,0.004386
0.194545,-0.017890,30.562005,0.004874
0.408203,0.493837,30.788187,0.004522
0.130240,0.293869,29.370191,0.004502
0.319056,-0.045843,30.139753,0.004362
0.404969,-0.218087,29.722397,0.004765
0.233193,0.228311,29.614916,0.004394
0.420393,0.333700,29.344990,0.004478
0.368639,-0.144192,30.884429,0.004389
0.444062,-0.273657,29.470442,0.004608
0.132885,0.048611,30.834729,0.004460
0.123574,-0.367648,29.827085,0.004408
0.293752,-0.118122,29.236193,0.004494
0.427490,0.425743,29.686182,0.004463
0.179926,0.006887,29.151249,0.004600
0.360907,0.075212,30.120451,0.004506
0.164116,-0.437184,30.133857,0.004472
0.383186,-0.154989,29.433510,0.004343
0.376258,0.378509,29.309547,0.004476
0.176234,0.398017,30.671470,0.004553
0.330670,0.140845,29.596695,0.004553
0.454603,0.237175,30.714364,0.004402
0.458908,0.423272,29.575727,0.004445
0.180488,-0.368256,29.244544,0.004505
0.238705,-0.102157,29.457632,0.004597
0.253544,0.459010,30.157458,0.004351
0.311787,-0.354512,29.931409,0.005063
0.486197,0.301848,29.942139,0.004451
0.187127,0.250999,30.815558,0.004651
0.276896,-0.141095,30.316134,0.004367
0.333685,0.388493,29.761820,0.004614
0.421908,-0.217493,30.588229,0.004417
0.136513,0.100436,29.214279,0.004379
0.210547,-0.452640,29.962507,0.004488
0.421134,0.153036,30.173113,0.004300
0.315900,-0.472690,30.251367,0.004554
0.486480,0.212027,30.272596,0.004364
0.265805,0.215497,29.652056,0.004341
0.208759,-0.093373,29.706531,0.004397
0.365587,-0.351101,29.964675,0.004770
0.339723,-0.267263,29.524418,0.004580
0.260579,0.377774,30.295617,0.004515
0.395401,0.026491,29.666887,0.004405
0.162022,0.444803,29.757398,0.004379
0.290305,0.091541,29.318802,0.004441
0.343581,-0.031594,30.716517,0.004440
0.183188,-0.238445,29.852881,0.004380
0.269988,0.478374,29.857774,0.004412
0.110634,0.033229,29.360030,0.004401
0.224193,0.191974,29.745342,0.004546
0.490697,-0.128712,29.771894,0.004557
0.258524,-0.241465,29.776983,0.004400
0.389279,-0.194376,30.764099,0.004500
0.304075,-0.005397,30.626775,0.004397
0.494171,-0.359948,29.977574,0.004454
0.166105,-0.291090,29.040844,0.004354
0.361642,-0.486282,29.947422,0.004485
0.116670,-0.027542,29.939944,0.004564
0.288222,0.020506,30.458830,0.004439
0.166937,-0.120318,29.639146,0.004476
0.252341,-0.100842,30.736342,0.004418
0.296412,0.434607,30.651154,0.004389
0.103941,0.018466,29.592883,0.004471
0.411131,0.252375,29.281283,0.004542
0.355866,0.380667,30.075200,0.004346
0.109798,-0.147076,30.266292,0.004692
0.118936,-0.234399,30.253927,0.004393
0.373672,0.283262,29.462159,0.004471
0.471094,0.166621,30.820433,0.004381
0.363267,-0.419339,30.893511,0.004420
0.114744,0.242865,29.001095,0.004516
0.371027,-0.370360,30.601909,0.004703
0.429572,-0.293638,30.301328,0.004748
0.328898,0.096169,30.968753,0.004575
0.438116,-0.011829,29.927081,0.004473
0.286316,0.240125,30.201047,0.004418
0.435123,0.373626,30.599456,0.004564
0.498840,0.443353,30.959176,0.004381
0.211747,0.353079,29.765672,0.004704
0.342165,-0.488853,30.180029,0.004453
0.230862,0.112375,29.063037,0.004421
0.430243,-0.395939,29.888005,0.004606
0.428416,-0.122741,29.719490,0.004582
0.322985,-0.227708,29.291025,0.004383
0.143651,-0.497319,30.851682,0.004388
0.102409,-0.495889,30.484215,0.004368
0.413324,0.012787,30.689428,0.004508
0.301892,-0.294628,30.149473,0.004490
0.243189,0.384881,30.665047,0.004432
0.456083,0.305556,30.891471,0.004717
0.499993,0.144423,30.091042,0.004518
0.279098,0.194561,30.001903,0.004460
0.325889,-0.082558,30.918755,0.004546
0.406004,0.339923,29.772722,0.004443
0.141379,0.102663,29.054867,0.004420
0.492309,-0.225614,30.461432,0.004413
0.323328,0.451039,29.240342,0.004428
0.174706,0.269109,29.315687,0.004624
0.448096,-0.078578,29.047132,0.004605
0.336130,0.188511,29.621449,0.004361
0.335780,-0.300811,29.554029,0.004515
0.193183,-0.340614,29.137778,0.004401
0.358942,0.462871,30.065832,0.004487
0.324025,0.359557,30.875604,0.004874
0.268959,0.448055,29.551838,0.004446
0.461901,0.429806,30.082117,0.004534
